X	Y	Z	Fi
64.5	45.5	271.5	31.56452
65.5	45.5	271.5	36.134064
66.5	45.5	271.5	35.37627
67.5	45.5	271.5	34.730495
68.5	45.5	271.5	33.830002
69.5	45.5	271.5	34.029999
70.5	45.5	271.5	33.494934
71.5	45.5	271.5	30.044771
72.5	45.5	271.5	35.93
73.5	45.5	271.5	34.573597
74.5	45.5	271.5	35.544182
75.5	45.5	271.5	33.142731
76.5	45.5	271.5	34.25
77.5	45.5	271.5	37.0243
78.5	45.5	271.5	36.542381
79.5	45.5	271.5	37.959999
80.5	45.5	271.5	36.198368
81.5	45.5	271.5	37.959999
82.5	45.5	271.5	33.34
83.5	45.5	271.5	36.599998
84.5	45.5	271.5	33.071991
85.5	45.5	271.5	34.407097
86.5	45.5	271.5	36.780628
87.5	45.5	271.5	36.00526
88.5	45.5	271.5	36.951664
89.5	45.5	271.5	37.055176
90.5	45.5	271.5	30.32
91.5	45.5	271.5	30.860001
92.5	45.5	271.5	35.490002
93.5	45.5	271.5	34.63319
94.5	45.5	271.5	33.35342
95.5	45.5	271.5	30.160122
96.5	45.5	271.5	29
97.5	45.5	271.5	26.33
98.5	45.5	271.5	27.93
99.5	45.5	271.5	27.599691
0.5	45.5	272.5	9.9916887
1.5	45.5	272.5	9.0849514
2.5	45.5	272.5	9.8915081
3.5	45.5	272.5	12.339313
4.5	45.5	272.5	3.9670813
5.5	45.5	272.5	6.0724645
6.5	45.5	272.5	4.273386
7.5	45.5	272.5	4.1436057
8.5	45.5	272.5	2.5747197
9.5	45.5	272.5	4.3699999
10.5	45.5	272.5	2.5983331
11.5	45.5	272.5	9.0878754
12.5	45.5	272.5	2.3076763
13.5	45.5	272.5	2.3201396
14.5	45.5	272.5	2.7044175
15.5	45.5	272.5	2.6840825
16.5	45.5	272.5	3.9850888
17.5	45.5	272.5	4.0607419
18.5	45.5	272.5	14.413952
19.5	45.5	272.5	8.6422176
20.5	45.5	272.5	6.8413715
21.5	45.5	272.5	6.6078453
22.5	45.5	272.5	7.4844379
23.5	45.5	272.5	8.2653494
24.5	45.5	272.5	2.8591061
25.5	45.5	272.5	4.4208636
26.5	45.5	272.5	2.9255013
27.5	45.5	272.5	3.9693029
28.5	45.5	272.5	2.5527873
29.5	45.5	272.5	19.472492
30.5	45.5	272.5	6.8159485
31.5	45.5	272.5	15.294426
32.5	45.5	272.5	19.458931
33.5	45.5	272.5	25.52
34.5	45.5	272.5	23.481827
35.5	45.5	272.5	23.469999
36.5	45.5	272.5	24.768562
37.5	45.5	272.5	22.941549
38.5	45.5	272.5	23.812439
39.5	45.5	272.5	18.9
40.5	45.5	272.5	25.146458
41.5	45.5	272.5	24.404177
42.5	45.5	272.5	28.16
43.5	45.5	272.5	28.139999
44.5	45.5	272.5	27.219999
45.5	45.5	272.5	30.02
46.5	45.5	272.5	28.868534
47.5	45.5	272.5	26.67
48.5	45.5	272.5	28.82
49.5	45.5	272.5	27.629999
50.5	45.5	272.5	27.5
51.5	45.5	272.5	28.700001
52.5	45.5	272.5	27.624502
53.5	45.5	272.5	31.190001
54.5	45.5	272.5	28.91
55.5	45.5	272.5	34.639999
56.5	45.5	272.5	24.98
57.5	45.5	272.5	30.036716
58.5	45.5	272.5	31.496981
59.5	45.5	272.5	30.340481
60.5	45.5	272.5	30.370001
61.5	45.5	272.5	32.441151
62.5	45.5	272.5	34.127789
63.5	45.5	272.5	36.369366
64.5	45.5	272.5	33.32
65.5	45.5	272.5	35.68
66.5	45.5	272.5	34.805542
67.5	45.5	272.5	34.033569
68.5	45.5	272.5	34.586113
69.5	45.5	272.5	33.529999
70.5	45.5	272.5	37.959999
71.5	45.5	272.5	32.934875
72.5	45.5	272.5	33.506702
73.5	45.5	272.5	35.086014
74.5	45.5	272.5	35.201439
75.5	45.5	272.5	34.398243
76.5	45.5	272.5	33.368496
77.5	45.5	272.5	34.055149
78.5	45.5	272.5	34.011936
79.5	45.5	272.5	35.93
80.5	45.5	272.5	37.786304
81.5	45.5	272.5	36.991898
82.5	45.5	272.5	37.959999
83.5	45.5	272.5	35.880001
84.5	45.5	272.5	35.527412
85.5	45.5	272.5	37.024723
86.5	45.5	272.5	36.889713
87.5	45.5	272.5	37.902889
88.5	45.5	272.5	31.87059
89.5	45.5	272.5	32.82
90.5	45.5	272.5	35.297375
91.5	45.5	272.5	31.290001
92.5	45.5	272.5	32.286682
93.5	45.5	272.5	32.439999
94.5	45.5	272.5	33.43
95.5	45.5	272.5	27.74
96.5	45.5	272.5	32.509998
97.5	45.5	272.5	29.065308
98.5	45.5	272.5	29
99.5	45.5	272.5	26.84
0.5	45.5	273.5	14.697479
1.5	45.5	273.5	6.0790224
2.5	45.5	273.5	7.0793939
3.5	45.5	273.5	11.279286
4.5	45.5	273.5	8.9389629
5.5	45.5	273.5	13.66
6.5	45.5	273.5	6.8831692
7.5	45.5	273.5	4.031178
8.5	45.5	273.5	14.027455
9.5	45.5	273.5	16.440001
10.5	45.5	273.5	12.086945
11.5	45.5	273.5	16.440001
12.5	45.5	273.5	3.9221325
13.5	45.5	273.5	6.564024
14.5	45.5	273.5	4.2193713
15.5	45.5	273.5	3.9902561
16.5	45.5	273.5	10.194997
17.5	45.5	273.5	22.51
18.5	45.5	273.5	4.6710582
19.5	45.5	273.5	4.1908207
20.5	45.5	273.5	20.551544
21.5	45.5	273.5	24.40106
22.5	45.5	273.5	12.422999
23.5	45.5	273.5	4.1719847
24.5	45.5	273.5	18.497334
25.5	45.5	273.5	4.359344
26.5	45.5	273.5	15.675122
27.5	45.5	273.5	4.5269794
28.5	45.5	273.5	7.0994096
29.5	45.5	273.5	14.417474
30.5	45.5	273.5	2.7171109
31.5	45.5	273.5	12.05422
32.5	45.5	273.5	17.719999
33.5	45.5	273.5	19.022478
34.5	45.5	273.5	8.5319929
35.5	45.5	273.5	3.9400001
36.5	45.5	273.5	8.564992
37.5	45.5	273.5	7.8860331
38.5	45.5	273.5	8.7413597
39.5	45.5	273.5	19.438532
40.5	45.5	273.5	10.548258
41.5	45.5	273.5	19.100311
42.5	45.5	273.5	15.161826
43.5	45.5	273.5	19.465439
44.5	45.5	273.5	9.3866425
45.5	45.5	273.5	24.651114
46.5	45.5	273.5	25.680401
47.5	45.5	273.5	28.309999
48.5	45.5	273.5	23.682655
49.5	45.5	273.5	24.98
50.5	45.5	273.5	22.209999
51.5	45.5	273.5	35.650002
52.5	45.5	273.5	27.605188
53.5	45.5	273.5	32.196999
54.5	45.5	273.5	31.552322
55.5	45.5	273.5	34.639999
56.5	45.5	273.5	31.6
57.5	45.5	273.5	29.43931
58.5	45.5	273.5	34.235588
59.5	45.5	273.5	32.768715
60.5	45.5	273.5	29.82716
61.5	45.5	273.5	23.918606
62.5	45.5	273.5	28.91
63.5	45.5	273.5	26.747355
64.5	45.5	273.5	27.110001
65.5	45.5	273.5	33.263474
66.5	45.5	273.5	31.553261
67.5	45.5	273.5	28.586418
68.5	45.5	273.5	28.352007
69.5	45.5	273.5	29.436052
70.5	45.5	273.5	26.35
71.5	45.5	273.5	31.220436
72.5	45.5	273.5	29.150982
73.5	45.5	273.5	30.701067
74.5	45.5	273.5	26.341503
75.5	45.5	273.5	31.559999
76.5	45.5	273.5	31.517485
77.5	45.5	273.5	33.530289
78.5	45.5	273.5	32.14431
79.5	45.5	273.5	34.898846
80.5	45.5	273.5	32.279999
81.5	45.5	273.5	34.725838
82.5	45.5	273.5	34.073948
83.5	45.5	273.5	32.91
84.5	45.5	273.5	33.989765
85.5	45.5	273.5	33.317516
86.5	45.5	273.5	33.405437
87.5	45.5	273.5	33.880001
88.5	45.5	273.5	35.437412
89.5	45.5	273.5	35.247463
90.5	45.5	273.5	35.371243
91.5	45.5	273.5	29.982815
92.5	45.5	273.5	30.983702
93.5	45.5	273.5	29.540001
94.5	45.5	273.5	35.16
95.5	45.5	273.5	28.828245
96.5	45.5	273.5	23.302183
97.5	45.5	273.5	32.790001
98.5	45.5	273.5	32.718624
99.5	45.5	273.5	31.007404
0.5	45.5	274.5	18.142422
1.5	45.5	274.5	20.203514
2.5	45.5	274.5	19.62711
3.5	45.5	274.5	19.173769
4.5	45.5	274.5	8.0561342
5.5	45.5	274.5	11.52
6.5	45.5	274.5	6.6571245
7.5	45.5	274.5	18.7195
8.5	45.5	274.5	4.1896224
9.5	45.5	274.5	4.7199998
10.5	45.5	274.5	6.0511265
11.5	45.5	274.5	17.776323
12.5	45.5	274.5	18.226192
13.5	45.5	274.5	4.1676888
14.5	45.5	274.5	4.6233187
15.5	45.5	274.5	21.016359
16.5	45.5	274.5	4.6358242
17.5	45.5	274.5	7.3625751
18.5	45.5	274.5	4.3645387
19.5	45.5	274.5	10.515952
20.5	45.5	274.5	16.108919
21.5	45.5	274.5	22.199741
22.5	45.5	274.5	7.4646869
23.5	45.5	274.5	12.533648
24.5	45.5	274.5	4.0265846
25.5	45.5	274.5	11.422823
26.5	45.5	274.5	14.239394
27.5	45.5	274.5	11.731007
28.5	45.5	274.5	19.539364
29.5	45.5	274.5	16.008909
30.5	45.5	274.5	20.198322
