Normal Score Transform: UTF-A Oil Sand Formation Data
 8
Well-No.
X(m)
Y(m)
Z(m)
Porosity %
Permeablity - mD
Declustering Weight
NS_Permeablity - mD
1	35.4	41.11	278.2	33.91	7097.7 0.73430842      1.85909
1	35.4	41.11	278.08	32.82	5936.12 0.81329548      1.51162
1	35.4	41.11	277.95	31.92	4735.95 0.81329548      1.27089
1	35.4	41.11	277.83	28.74	2591.31 0.81329548      0.76486
1	35.4	41.11	277.7	25.4	751.53 0.81329548     -0.26174
1	35.4	41.11	277.58	22.6	205.05 0.81329548     -1.15956
1	35.4	41.11	277.45	21.25	102.6 0.81329548     -2.33184
1	35.4	41.11	277.33	19.02	48.35 -999.00000   -999.00000
1	35.4	41.11	277.2	22.14	80.4 -999.00000   -999.00000
1	35.4	41.11	277.08	18.71	30.42 -999.00000   -999.00000
1	35.4	41.11	276.95	26.26	174.09 0.81329548     -1.40250
1	35.4	41.11	276.83	25.77	184.17 0.87667048     -1.29444
1	35.4	41.11	276.7	26.45	189.2 0.87667048     -1.28720
1	35.4	41.11	276.58	27.14	652.83 0.87667048     -0.39615
1	35.4	41.11	276.45	29.94	2099.58 0.87667048      0.57941
1	35.4	41.11	276.33	34.14	4636.56 0.87667048      1.25056
1	35.4	41.11	276.2	35.68	6346.21 0.87667048      1.60646
1	35.4	41.11	276.08	34.33	5755.24 0.87667048      1.48635
1	35.4	41.11	275.95	33.53	5046.36 0.87667048      1.33313
1	35.4	41.11	275.83	32.19	4112.73 0.87667048      1.14198
1	35.4	41.11	275.7	28.78	3209.46 0.87667048      0.94181
1	35.4	41.11	275.58	31.94	4952.44 0.87667048      1.30351
1	35.4	41.11	275.45	29.99	4362.14 0.99378163      1.19412
1	35.4	41.11	275.33	30.01	4534.45 0.99378163      1.23233
1	35.4	41.11	275.2	26.32	2949.71 0.99378163      0.85996
1	35.4	41.11	275.08	24.97	2275.23 0.99378163      0.64420
1	35.4	41.11	274.95	26.48	2597.72 0.99378163      0.76879
1	35.4	41.11	274.83	26.72	2118.64 0.99378163      0.58486
1	35.4	41.11	274.7	25.82	1146.55 0.99378163      0.03827
1	35.4	41.11	274.58	22.86	146.64 0.99378163     -1.59349
1	35.4	41.11	274.45	18.16	9.56 -999.00000   -999.00000
1	35.4	41.11	274.33	6.9	0.05 -999.00000   -999.00000
1	35.4	41.11	274.2	8.91	0.33 -999.00000   -999.00000
1	35.4	41.11	274.08	13.4	3.25 -999.00000   -999.00000
1	35.4	41.11	273.95	13.29	3.21 -999.00000   -999.00000
1	35.4	41.11	273.83	12.35	1.52 -999.00000   -999.00000
1	35.4	41.11	273.7	14.43	3.72 -999.00000   -999.00000
1	35.4	41.11	273.58	11.31	1.5 -999.00000   -999.00000
1	35.4	41.11	273.45	2.9	0 -999.00000   -999.00000
1	35.4	41.11	273.33	0	0 -999.00000   -999.00000
1	35.4	41.11	273.2	4.4	0.01 -999.00000   -999.00000
1	35.4	41.11	273.08	3.94	0 -999.00000   -999.00000
1	35.4	41.11	272.95	7.06	0.07 -999.00000   -999.00000
