KT3D ESTIMATES WITH:  Normal Score Transform: UTF-A Oil Sand Formation Data     
    2   50   30   20
Estimate
EstimationVariance
 2153.2810      1.1302007    
 2354.8169      1.1556097    
 2816.2034      1.1832449    
 2952.6296      1.0935394    
 3851.9639      1.0877979    
 2963.4487      1.0875055    
 2792.5847      1.1259174    
 2810.7102      1.1034325    
 2828.7114      1.0829494    
 2853.6777      1.0665143    
 2872.1079      1.0614140    
 2839.0872      1.0741186    
 2819.4624      1.0929831    
 2801.6165      1.1146448    
 2783.2153      1.1377252    
 2764.8125      1.1614283    
 2747.1045      1.1851926    
 2730.4841      1.2085779    
 656.04456      1.1041301    
 643.44702      1.0899179    
 631.86090      1.0770799    
 609.95306      1.0663387    
 604.35004      1.0604486    
 630.50641      1.0618527    
 645.30780      1.0271263    
 551.51483      1.0222088    
 479.45413      1.0189773    
 587.92627      1.0254241    
 463.40729      1.0219228    
 473.34998      1.0172890    
 460.17023      1.0015740    
 432.55652     0.99344480    
 805.94336      1.0278243    
 800.02423      1.0120933    
 558.43683     0.99542010    
 512.05725     0.98910183    
 546.37836      1.0302602    
 540.74347      1.0392237    
 537.07056      1.0487118    
 535.63434      1.0561950    
 731.34668      1.0619158    
 970.31396      1.0874616    
 1148.4288      1.0752236    
 1243.6119      1.0728323    
 1890.3013      1.0706717    
 1966.1212      1.0624905    
 1761.2789      1.0567975    
 2157.2573      1.0669575    
 2160.7825      1.0856591    
 2157.7788      1.1076081    
 2153.0684      1.1312565    
 2354.7334      1.1566763    
 2816.6157      1.1842886    
 2726.4573      1.0919802    
 4174.3696      1.0877155    
 2964.0469      1.0869164    
 2793.3901      1.1249075    
 2811.4880      1.1024851    
 2829.5515      1.0821238    
 2855.2283      1.0659512    
 2870.6824      1.0617331    
 2838.0618      1.0748537    
 2818.6858      1.0938857    
 2800.8218      1.1156318    
 2782.4041      1.1387538    
 2764.0195      1.1624701    
 2746.3530      1.1862262    
 2729.7849      1.2095863    
 655.48108      1.1034886    
 642.91370      1.0893222    
 631.39020      1.0765628    
 609.61145      1.0659643    
 604.23273      1.0603466    
 605.05286      1.0623487    
 666.43079      1.0221361    
 581.04974      1.0104095    
 485.72473      1.0034004    
 524.77057      1.0020337    
 473.56894     0.99394304    
 484.24606     0.98492616    
 473.30243     0.96782053    
 452.05283     0.95739251    
 762.35211     0.98245114    
 700.72742     0.96337885    
 574.62726     0.95295507    
 529.35608     0.95037687    
 553.47449     0.99059576    
 547.76697      1.0070418    
 543.95593      1.0241532    
 578.77063      1.0396119    
 737.99316      1.0520767    
 1010.0003      1.0713060    
 1149.1462      1.0696346    
 1264.8274      1.0675735    
 1890.4747      1.0666915    
 1971.8223      1.0596019    
 1763.1924      1.0559238    
 2156.1082      1.0672891    
 2160.6431      1.0865587    
 2157.5889      1.1086155    
 2152.8562      1.1323135    
 2354.6506      1.1577435    
 2817.0259      1.1853310    
 2725.5859      1.0920306    
 4270.5830      1.0873016    
 3091.6782      1.0881405    
 2794.1951      1.1238996    
 2812.2644      1.1015413    
 2830.4028      1.0813057    
 2856.8262      1.0654063    
 2869.1294      1.0620831    
 2837.0623      1.0755985    
 2817.9102      1.0947932    
 2800.0261      1.1166214    
 2781.5930      1.1397835    
 2763.2283      1.1635121    
 2745.6040      1.1872592    
 2729.0886      1.2105933    
 649.45123      1.0971407    
 637.79169      1.0838019    
 627.39502      1.0721550    
 619.18787      1.0631853    
 602.83813      1.0587199    
 604.76196      1.0620449    
 639.87598      1.0183601    
 704.76062     0.99829602    
 490.90396     0.98280913    
 526.82007     0.97440052    
 484.23999     0.95973164    
 496.15955     0.94390714    
 488.24014     0.92278045    
 497.20593     0.90926993    
 738.88623     0.91923213    
 696.02496     0.90036017    
 591.27380     0.88951921    
 599.86554     0.89321387    
 564.57678     0.92423034    
 558.58820     0.94864744    
 554.27551     0.97443229    
 588.19104     0.99932921    
 910.87927      1.0254698    
 1172.7150      1.0533301    
 1142.5055      1.0499103    
 1026.3423      1.0447195    
 1957.4988      1.0414877    
 2029.8334      1.0344309    
 1830.3126      1.0358026    
 2303.0605      1.0317736    
 2168.2639      1.0769279    
 2159.3030      1.1041003    
 2150.5254      1.1313131    
 2352.6455      1.1584527    
 2817.4355      1.1863729    
 2915.7888      1.0919751    
 4269.2266      1.0869772    
 2776.5046      1.1462758    
 2794.9985      1.1228937    
 2813.0403      1.1006017    
 2831.2656      1.0804954    
 2858.4673      1.0648803    
 2867.4873      1.0624624    
 2836.0876      1.0763537    
 2817.1348      1.0957057    
 2799.2300      1.1176134    
 2780.7834      1.1408143    
 2762.4377      1.1645538    
 2744.8567      1.1882914    
 2728.3931      1.2115988    
 632.84338      1.0790213    
 621.63489      1.0657910    
 612.16888      1.0548309    
 605.39478      1.0472153    
 603.21313      1.0452186    
 595.62952      1.0511901    
 631.11731      1.0068036    
 696.06274     0.98413199    
 491.39563     0.96418065    
 528.21771     0.94922572    
 493.78577     0.92700601    
 507.61249     0.90209174    
 487.32220     0.87314969    
 516.03528     0.84965646    
 714.64758     0.84425336    
 708.06415     0.82055241    
 572.98267     0.80669928    
 608.27405     0.80670363    
 578.77435     0.83472627    
 572.30469     0.86616176    
 567.36084     0.89964199    
 651.71021     0.93467528    
 876.78687     0.97030914    
 1070.1267      1.0241866    
 1095.2384     0.99499834    
 1072.0930     0.99447864    
 2031.6318     0.98690271    
 2263.9355     0.98175865    
 2116.1565     0.97136211    
 2025.4668     0.99403882    
 2195.4109      1.0408090    
 2185.6658      1.0758301    
 2174.9104      1.1109074    
 2551.9758      1.1474246    
 2812.1865      1.1798248    
 3243.8523      1.0899045    
 4125.6060      1.0867380    
 2777.3137      1.1452404    
 2795.8020      1.1218895    
 2813.8167      1.0996659    
 2832.1428      1.0796931    
 2860.1460      1.0643743    
 2865.7910      1.0628687    
 2835.1353      1.0771182    
 2816.3594      1.0966229    
 2798.4312      1.1186079    
 2779.9722      1.1418457    
 2761.6477      1.1655957    
 2744.1116      1.1893228    
 2727.7000      1.2126026    
 606.32306      1.0493704    
 594.98584      1.0352627    
 586.12518      1.0242593    
 580.64331      1.0175406    
 580.36127      1.0175580    
 575.83765      1.0266672    
 557.59186     0.99297738    
 651.03326     0.97024804    
 503.37067     0.94858938    
 522.73706     0.92992407    
 496.41833     0.90345675    
 514.12952     0.87137914    
 502.22437     0.83313382    
 533.04736     0.79614753    
 686.48859     0.77128059    
 660.42206     0.73525655    
 602.44409     0.71200985    
 617.71521     0.70673245    
 597.58337     0.73242176    
 589.95801     0.77001876    
 583.71576     0.81013364    
 688.83899     0.85093892    
 770.94958     0.90564877    
 1038.9352      1.0023191    
 1159.9600     0.93360519    
 1113.9688     0.91480428    
 1909.2618     0.90534168    
 2307.5300     0.89894247    
 2424.6660     0.89859593    
 2092.9507     0.93180215    
 2221.4434     0.97879523    
 2210.3770      1.0221127    
 2197.6731      1.0660731    
 2547.9805      1.1126089    
 2804.8491      1.1538639    
 3275.9092      1.0794518    
 4058.2124      1.0827116    
 2778.2725      1.1441995    
 2796.6035      1.1208878    
 2814.5911      1.0987344    
 2833.0347      1.0788991    
 2861.8535      1.0638900    
 2864.0696      1.0633004    
 2834.2036      1.0778923    
 2815.5852      1.0975444    
 2797.6316      1.1196048    
 2779.1624      1.1428785    
 2760.8618      1.1666374    
 2743.3684      1.1903532    
 2727.0112      1.2136049    
 570.60986      1.0090735    
 557.75989     0.99233490    
 548.43945     0.97990572    
 543.63788     0.97320122    
 545.20392     0.97496408    
 554.85266     0.98779941    
 485.28485     0.96935117    
 574.14917     0.95405352    
 509.52438     0.93714458    
 509.43585     0.92069882    
 488.03967     0.89577723    
 508.74527     0.86258680    
 503.21719     0.82005298    
 562.77228     0.77467591    
 681.47034     0.73239791    
 658.49194     0.67544067    
 623.12921     0.62978435    
 629.07990     0.60939240    
 623.37720     0.63319004    
 612.69196     0.67603230    
 603.74438     0.72089285    
 696.30353     0.76519078    
 817.59735     0.84788871    
 1122.8328     0.92635357    
 1131.3862     0.86479962    
 1108.1023     0.82006842    
 1953.7339     0.80283278    
 2471.0015     0.79513001    
 2414.2932     0.81150424    
 2144.0088     0.84988332    
 1965.5945     0.87663478    
 2236.6606     0.94938254    
 2222.5415      1.0019053    
 2654.0457      1.0294471    
 2522.0356      1.0793892    
 3136.2461      1.0479966    
 3972.9995      1.0653967    
 2774.2000      1.1329569    
 2792.5994      1.1111110    
 2811.3171      1.0908533    
 2832.1025      1.0731728    
 2863.8765      1.0604601    
 2863.6174      1.0625015    
 2833.8953      1.0784651    
 2814.8108      1.0984703    
 2796.8311      1.1206038    
 2778.3525      1.1439120    
 2760.0764      1.1676792    
 2742.6287      1.1913831    
 2726.3232      1.2146059    
 480.67145     0.96325350    
 516.61462     0.94190061    
 504.91367     0.92555594    
 499.09955     0.91700488    
 501.10529     0.91943669    
 512.46265     0.93539190    
 531.14056     0.96111363    
 528.77130     0.93149269    
 505.92471     0.92547297    
 494.20822     0.91418511    
 469.33255     0.90157866    
 491.93558     0.87604976    
 488.22595     0.83908206    
 552.47729     0.79842573    
 684.68719     0.76070029    
 674.95746     0.69831043    
 624.87000     0.63869119    
 626.14648     0.59358424    
 641.23132     0.59329396    
 630.88477     0.62405705    
 621.58038     0.66065592    
 833.08795     0.69313258    
 1075.6111     0.84456950    
 1076.7255     0.82653558    
 1165.9177     0.82357460    
 974.54279     0.72526044    
 2048.2612     0.69592869    
 2390.8105     0.68859726    
 2353.9607     0.71025026    
 2217.1121     0.75517887    
 1976.7488     0.79556096    
 2038.1281     0.85361648    
 2428.5513     0.91533273    
 2404.3823     0.97726780    
 2262.4851      1.0334946    
 3186.9084      1.0001177    
 4027.1416      1.0249002    
 2826.4121      1.0991919    
 2839.5154      1.0779158    
 2849.2693      1.0592252    
 2857.6619      1.0441278    
 2877.1545      1.0351427    
 2863.8711      1.0427297    
 2830.1895      1.0644606    
 2809.1931      1.0901018    
 2794.0952      1.1168313    
 2778.4597      1.1432667    
 2759.8586      1.1685501    
 2741.8899      1.1924117    
 2725.6382      1.2156051    
 455.83856     0.92618138    
 437.49203     0.89500278    
 465.47983     0.87114090    
 456.22964     0.85706747    
 456.70441     0.85773778    
 468.26788     0.87566489    
 488.42767     0.90574658    
 518.69104     0.90043432    
 474.02856     0.90727836    
 475.46005     0.90998662    
 443.89090     0.91004926    
 467.94293     0.89764124    
 463.84476     0.87246364    
 536.55035     0.84597975    
 697.34186     0.82957548    
 685.55585     0.77583843    
 594.71826     0.71867692    
 589.41968     0.67431676    
 622.31433     0.65579963    
 623.30566     0.65408510    
 623.55286     0.65919149    
 841.89368     0.66100001    
 1050.1333     0.74635547    
 1102.0930     0.72101128    
 1108.1223     0.71269643    
 952.43634     0.65198231    
 1792.3943     0.60934532    
 2181.6023     0.59307700    
 2231.0857     0.61582166    
 2133.0168     0.66139972    
 2109.2683     0.72237551    
 2231.3696     0.79010969    
 2168.5955     0.86168838    
 2226.7175     0.92894226    
 2417.2876     0.99853855    
 3316.1643     0.93959337    
 3803.0144     0.97383136    
 2934.7087      1.0436602    
 2949.7078      1.0211767    
 2959.1082      1.0026708    
 2964.6851     0.98920912    
 2978.2590     0.98349988    
 2949.1277     0.99685544    
 2898.5693      1.0251253    
 2856.7041      1.0577418    
 2816.1252      1.0916331    
 2780.9661      1.1251994    
 2755.0610      1.1573759    
 2737.4631      1.1873873    
 2725.6792      1.2146553    
 449.27420     0.91578764    
 425.87347     0.87557155    
 406.32520     0.84023470    
 429.73633     0.81566995    
 425.45700     0.80886132    
 434.51041     0.82454109    
 454.01709     0.85629702    
 483.54803     0.86703187    
 531.93866     0.88772857    
 424.58664     0.90267265    
 418.35980     0.91528428    
 442.82071     0.91643375    
 443.27567     0.90442157    
 519.83026     0.89294273    
 688.26764     0.90391004    
 616.82361     0.85007381    
 580.61627     0.80370122    
 565.25507     0.76055497    
 605.52069     0.73560494    
 608.90472     0.71731013    
 614.17950     0.69940692    
 874.52972     0.66759902    
 1052.1904     0.67856282    
 1085.3958     0.63114870    
 985.41907     0.60879761    
 1010.0249     0.60668141    
 1595.5713     0.59258074    
 2137.3069     0.59592855    
 2218.9302     0.60103458    
 2195.1580     0.63877326    
 2296.1284     0.69589102    
 2326.4861     0.76409996    
 2314.6125     0.83323079    
 2292.8284     0.90855461    
 2354.4685     0.98214716    
 3354.7209     0.88120967    
 3757.8623     0.91333944    
 3044.7786     0.97145861    
 3065.1736     0.94490391    
 3078.5557     0.92419845    
 3086.8545     0.91060477    
 3102.0730     0.90710509    
 3068.7363     0.92597669    
 3015.5413     0.96106797    
 2966.9561      1.0013511    
 2915.3406      1.0433850    
 2861.8652      1.0852981    
 2810.0820      1.1257946    
 2762.9189      1.1638837    
 2726.9561      1.1988300    
 464.46326     0.93912089    
 439.48920     0.89809567    
 417.25165     0.85964155    
 400.01660     0.82832056    
 427.56830     0.81239098    
 430.45502     0.81797409    
 444.78299     0.84202951    
 464.07755     0.85528725    
 460.23657     0.87964606    
 411.18375     0.90029120    
 461.13232     0.92106307    
 423.09430     0.93181109    
 422.35391     0.92839938    
 601.54950     0.98505425    
 699.38770     0.96748644    
 691.99084     0.93130678    
 615.65588     0.88163644    
 545.73639     0.84269321    
 574.79138     0.81574672    
 591.85364     0.79684615    
 596.78564     0.77087510    
 897.70959     0.71342623    
 1024.8319     0.68221980    
 1105.1007     0.62205040    
 1103.6324     0.57833409    
 1099.7896     0.57829630    
 1424.8474     0.59793514    
 1943.6428     0.63986564    
 2491.4302     0.65908456    
 2302.9336     0.70300806    
 2314.4695     0.74340236    
 2391.1660     0.79357874    
 2430.1758     0.85786682    
 2504.1633     0.92673159    
 2675.7944     0.99508202    
 3337.4863     0.85767859    
 2828.4102     0.89100689    
 3140.1333     0.89382875    
 3168.9412     0.85865563    
 3189.0776     0.83166254    
 3202.3818     0.81475812    
 3220.9756     0.81140804    
 3185.4348     0.83497638    
 3132.4939     0.87671191    
 3082.2942     0.92485136    
 3028.0247     0.97552311    
 2970.2078      1.0264850    
 2910.4084      1.0761346    
 2850.0625      1.1232109    
 2792.2834      1.1668409    
 491.30356     0.98050565    
 469.73318     0.94440222    
 448.24756     0.91023463    
 430.72391     0.88137013    
 461.16370     0.86436129    
 459.77271     0.86353248    
 467.99823     0.87721878    
 447.08365     0.87938744    
 464.26263     0.89648169    
 405.66348     0.91534567    
 462.01926     0.93466878    
 403.08368     0.94039649    
 408.98746     0.94854641    
 600.93011      1.0216490    
 707.31195      1.0141202    
 701.14105     0.98516929    
 627.00909     0.94383699    
 539.67908     0.91208780    
 567.69000     0.89085841    
 575.06866     0.88166147    
 578.24573     0.85740572    
 828.39337     0.76817185    
 1046.8167     0.71669984    
 1106.0476     0.64962286    
 1355.3872     0.60034186    
 1310.5450     0.58320981    
 1465.5547     0.60095882    
 1780.5984     0.64444840    
 2156.3850     0.70460725    
 2311.3403     0.77358198    
 2329.1113     0.80634731    
 2393.5273     0.85257936    
 2452.9031     0.90623444    
 2834.6152     0.96493959    
 3134.5813      1.0252736    
 2705.3101     0.88218522    
 3095.7744     0.84802127    
 3207.0886     0.83041614    
 3249.5784     0.77998203    
 3282.5078     0.73912686    
