15.09	-1.891137913	1517.02	-1.891137913	-1.77152326			
15.25	-1.880590683	1531.92	-1.880590683	-1.766147579			
15.27	-1.879280067	1533.03	-1.879280067	-1.765749204			
15.29	-1.877971166	1563.26	-1.877971166	-1.755009235			
15.35	-1.874054712	1544.83	-1.874054712	-1.761531967			
15.37	-1.872752628	1550.33	-1.872752628	-1.7595773			
15.49	-1.864975532	1563.29	-1.864975532	-1.75499868			
15.58	-1.859182146	1603.99	-1.859182146	-1.740862745			
15.66	-1.854060495	1570.88	-1.854060495	-1.752334812			
15.68	-1.852784171	1569.3	-1.852784171	-1.752888284			
15.72	-1.850236399	1581.18	-1.850236399	-1.748740325			
15.89	-1.839480205	1595.39	-1.839480205	-1.743819575			
16.09	-1.826972225	1616.89	-1.826972225	-1.736457093			
16.13	-1.824489294	1619.28	-1.824489294	-1.735644713			
16.22	-1.818925137	1623.93	-1.818925137	-1.734067571			
16.31	-1.813391769	1637.3	-1.813391769	-1.729557898			
16.34	-1.811554097	1657.54	-1.811554097	-1.72280058			
16.37	-1.809719795	1638.97	-1.809719795	-1.728997199			
16.41	-1.807279281	1661.86	-1.807279281	-1.721368995			
16.44	-1.805452796	1704.53	-1.805452796	-1.707425419			
16.44	-1.805452796	1648.6	-1.805452796	-1.725775053			
16.59	-1.796370082	1667.24	-1.796370082	-1.719591336			
16.78	-1.784982485	1682.68	-1.784982485	-1.714521328			
16.96	-1.774312556	1701.31	-1.774312556	-1.708465398			
17.08	-1.767261998	1717.3	-1.767261998	-1.703320287			
17.09	-1.766676689	1784.88	-1.766676689	-1.682091444			
17.26	-1.7567785	1826.7	-1.7567785	-1.669353513			
17.28	-1.755620423	1744.25	-1.755620423	-1.694756031			
17.33	-1.752731082	1736.12	-1.752731082	-1.697325591			
17.35	-1.75157768	1747.74	-1.75157768	-1.693656658			
17.35	-1.75157768	1754.79	-1.75157768	-1.691442541			
17.37	-1.750425606	1743.21	-1.750425606	-1.695084064			
17.43	-1.746977326	1753.14	-1.746977326	-1.69195994			
17.5	-1.742969305	1813.44	-1.742969305	-1.67336052			
17.57	-1.738977284	1984.13	-1.738977284	-1.623885305			
17.61	-1.736703263	1884.41	-1.736703263	-1.652246471			
17.63	-1.73556819	1780.7	-1.73556819	-1.683380997			
17.68	-1.732736129	1878.58	-1.732736129	-1.653950702			
17.71	-1.731040734	1792.85	-1.731040734	-1.679641004			
17.72	-1.730476241	1775.46	-1.730476241	-1.685001847			
17.83	-1.724287754	1825.54	-1.724287754	-1.669702888			
